dist,state,censuscode,total_area,ban_area,percent_ban,agri_area,ban_agri_area,pop,ban_pop,cultivators,ban_cultivators,agri_labour,ban_agri_labour,op_holdings,ban_op_holdings,ban_agri_area_90,ban_pop_90,ban_cultivators_90,ban_agri_labour_90,ban_op_holdings_90,ban_agri_area_50,ban_pop_50,ban_cultivators_50,ban_agri_labour_50,ban_op_holdings_50
Shimla,Himachal Pradesh,33,5171.83,4.48,0.09,1179,1,814010,705,249786,216,26114,24,110005,95.29,0.5,352.5,108,12,47.65,0.5,352.5,108,12,47.65
Ramban,Jammu & Kashmir,17,1118.03,4.87,0.44,272,1.2,283713,1236,41394,180,8810,39,40146,174.87,0.6,618,90,19.5,87.44,0.6,618,90,19.5,87.44
Patan,Gujarat,470,5700.76,32.14,0.56,3871,21.8,1343734,7576,136590,770,227080,1272,154385,870.4,10.9,3788,385,636,435.2,10.9,3788,385,636,435.2
Jodhpur,Rajasthan,113,23050.43,134.38,0.58,17769,103.6,3687165,21496,592370,3453,242017,1404,250305,1459.23,51.8,10748,1726.5,702,729.62,51.8,10748,1726.5,702,729.62
Kishtwar,Jammu & Kashmir,18,8659.75,65.59,0.76,217,1.6,230696,1747,39271,297,16296,124,42979,325.53,0.8,873.5,148.5,62,162.77,0.8,873.5,148.5,62,162.77
Tamenglong,Manipur,273,4229.8,32.27,0.76,160,1.2,140651,1073,48849,373,1924,15,7685,58.63,0.6,536.5,186.5,7.5,29.32,0.6,536.5,186.5,7.5,29.32
Marigaon,Assam,304,1558.58,12.77,0.82,919,7.5,957423,7845,157612,1291,,,100143,820.51,3.75,3922.5,645.5,,410.26,3.75,3922.5,645.5,0,410.26
Hanumangarh,Rajasthan,100,10000.43,131.34,1.31,8715,114.5,1774692,23308,370452,4865,166833,2186,176745,2321.27,57.25,11654,2432.5,1093,1160.64,57.25,11654,2432.5,1093,1160.64
Kolasib,Mizoram,282,1359.12,25.76,1.9,116,2.2,83955,1591,17992,341,5921,112,5925,112.3,1.1,795.5,170.5,56,56.15,1.1,795.5,170.5,56,56.15
Bareilly,Uttar Pradesh,150,3812.9,73.81,1.94,3410,66,4448359,86111,365985,7085,326376,6332,460452,8913.42,33,43055.5,3542.5,3166,4456.71,33,43055.5,3542.5,3166,4456.71
